subject,activity,Avg_tBodyAccmean,Avg_tBodyAccstd,Avg_tGravityAccmean,Avg_tGravityAccstd,Avg_tBodyAccJerkmean,Avg_tBodyAccJerkstd,Avg_tBodyGyromean,Avg_tBodyGyrostd,Avg_tBodyGyroJerkmean,Avg_tBodyGyroJerkstd,Avg_tBodyAccMagmean,Avg_tBodyAccMagstd,Avg_tGravityAccMagmean,Avg_tGravityAccMagstd,Avg_tBodyAccJerkMagmean,Avg_tBodyAccJerkMagstd,Avg_tBodyGyroMagmean,Avg_tBodyGyroMagstd,Avg_tBodyGyroJerkMagmean,Avg_tBodyGyroJerkMagstd,Avg_fBodyAccmean,Avg_fBodyAccstd,Avg_fBodyAccJerkmean,Avg_fBodyAccJerkstd,Avg_fBodyGyromean,Avg_fBodyGyrostd,Avg_fBodyAccMagmean,Avg_fBodyAccMagstd,Avg_fBodyBodyAccJerkMagmean,Avg_fBodyBodyAccJerkMagstd,Avg_fBodyBodyGyroMagmean,Avg_fBodyBodyGyroMagstd,Avg_fBodyBodyGyroJerkMagmean,Avg_fBodyBodyGyroJerkMagstd
1,laying,0.221598244,-0.928056469,-0.248881798,-0.896830018,0.081086534,-0.958482112,-0.016553094,-0.873543868,-0.107270949,-0.918608521,-0.841929153,-0.795144864,-0.841929153,-0.795144864,-0.954396265,-0.928245628,-0.874759548,-0.81901017,-0.96346103,-0.935840983,-0.939099052,-0.924437435,-0.957073884,-0.964160709,-0.850249175,-0.882296451,-0.861767648,-0.79830094,-0.933300361,-0.921803976,-0.862190185,-0.82431944,-0.942366947,-0.932660668
1,sitting,0.261237565,-0.977229008,0.831509933,-0.968457146,0.07748252,-0.986430711,-0.045350057,-0.977211283,-0.093679381,-0.991731592,-0.948536786,-0.927078419,-0.948536786,-0.927078419,-0.987364196,-0.984120024,-0.93089249,-0.93453184,-0.991976341,-0.988308729,-0.979641239,-0.976412313,-0.986597023,-0.987492994,-0.976161464,-0.977904227,-0.947782923,-0.928444802,-0.985262127,-0.981606177,-0.958435589,-0.932198375,-0.989797547,-0.987049617
1,standing,0.278917629,-0.995759902,0.942952,-0.993762985,0.075376654,-0.994604542,-0.023987735,-0.987191947,-0.099609213,-0.992945107,-0.984278207,-0.981942929,-0.984278207,-0.981942929,-0.992367791,-0.993096209,-0.976493793,-0.978690029,-0.994966791,-0.994733239,-0.995249933,-0.996028345,-0.994630797,-0.995073759,-0.986386786,-0.987497129,-0.985356361,-0.982313805,-0.992542478,-0.992536003,-0.984617623,-0.978466072,-0.994815377,-0.994671123
1,walking,0.277330759,-0.283740259,0.935223201,-0.976609643,0.074041633,-0.113615602,-0.041830964,-0.473535486,-0.089997542,-0.207421855,-0.136971177,-0.219688646,-0.136971177,-0.219688646,-0.141428809,-0.07447175,-0.160979553,-0.186978365,-0.298703679,-0.325324879,-0.202794306,-0.31913472,-0.170546965,-0.133586606,-0.339032197,-0.516691939,-0.128623451,-0.398032587,-0.0571194,-0.103492403,-0.199252569,-0.321017954,-0.319308594,-0.381601912
1,walking downstairs,0.28918832,0.030035338,0.931874419,-0.950559812,0.054155316,-0.012283861,-0.03507819,-0.458030543,-0.073959204,-0.487027342,0.027188291,0.019884351,0.027188291,0.019884351,-0.089447481,-0.02578772,-0.075741254,-0.225724368,-0.295463843,-0.306510646,0.038229183,0.024330839,-0.027663868,-0.086327897,-0.352449631,-0.495422486,0.096584534,-0.186530301,0.026218495,-0.104052261,-0.185720286,-0.39835039,-0.281963359,-0.391919877
1,walking upstairs,0.25546169,-0.354708025,0.893351098,-0.956367028,0.10137273,-0.446843888,0.05054938,-0.544871105,-0.122232768,-0.614786508,-0.129927631,-0.324970929,-0.129927631,-0.324970929,-0.466503446,-0.478991622,-0.12673559,-0.148619318,-0.594882865,-0.648553044,-0.404321784,-0.337428189,-0.479875246,-0.461907026,-0.492611668,-0.565892491,-0.352395945,-0.416260102,-0.442652162,-0.533059854,-0.325961457,-0.182985518,-0.634665082,-0.693930522
2,laying,0.281373404,-0.974059465,-0.509754238,-0.959014441,0.082597251,-0.985872169,-0.018476607,-0.988275233,-0.101974134,-0.993235849,-0.977435485,-0.972873913,-0.977435485,-0.972873913,-0.987741696,-0.985518076,-0.95001157,-0.961164054,-0.991767074,-0.989718095,-0.97672506,-0.973246482,-0.985813631,-0.987250256,-0.986431143,-0.988860686,-0.975110196,-0.975121388,-0.985374115,-0.984568489,-0.972112973,-0.961098379,-0.990248702,-0.98949266
2,sitting,0.277087352,-0.98682228,0.940477273,-0.979988761,0.072256439,-0.988055854,-0.045470662,-0.985742028,-0.093632841,-0.989709023,-0.967893624,-0.953081444,-0.967893624,-0.953081444,-0.986774713,-0.984475868,-0.946035087,-0.961313624,-0.991081494,-0.98959492,-0.985803841,-0.98736209,-0.987848794,-0.989459107,-0.98262139,-0.986808502,-0.961273748,-0.955575602,-0.983874699,-0.984124186,-0.971840596,-0.961385745,-0.989861951,-0.989632909
2,standing,0.277911472,-0.987271889,0.896928567,-0.986685819,0.07475886,-0.981085716,-0.023862388,-0.97299863,-0.105562158,-0.979324001,-0.965875181,-0.957874965,-0.965875181,-0.957874965,-0.980489077,-0.97667528,-0.963466342,-0.95394338,-0.983951904,-0.977204428,-0.98394674,-0.98905647,-0.980973242,-0.983007924,-0.967037112,-0.974988125,-0.964052166,-0.960519381,-0.977065296,-0.97516046,-0.961775905,-0.956788726,-0.977849827,-0.977754298
2,walking,0.276426586,-0.423642838,0.913017333,-0.972693201,0.06180807,-0.277530463,-0.053025816,-0.561550256,-0.081883343,-0.389549832,-0.290407594,-0.422544169,-0.290407594,-0.422544169,-0.281424154,-0.164150985,-0.446549093,-0.553019916,-0.54791195,-0.557798151,-0.346048161,-0.457651384,-0.304615323,-0.314313063,-0.429713536,-0.604053019,-0.324289428,-0.577105212,-0.169064353,-0.164091969,-0.530704815,-0.65179284,-0.583249293,-0.558104555
